step,train_time_s,train_loss,eval_loss
0,0.000000,3.3193374,3.3193374
100,0.001573,2.7321382,2.5976844
200,0.003049,2.5594578,2.5325894
300,0.004443,2.5785291,2.4719179
400,0.005824,2.4619012,2.4891753
500,0.007208,2.5598521,2.440602
600,0.008576,2.5267773,2.496634
700,0.009912,2.4765604,2.4358783
800,0.011335,2.417181,2.438741
900,0.012675,2.4770734,2.4648862
1000,0.013985,2.45923,2.4596157
1100,0.015297,2.445286,2.416742
1200,0.016634,2.428473,2.4692974
1300,0.017900,2.4452143,2.4441242
1400,0.019177,2.4330826,2.4255378
1500,0.020527,2.4733186,2.4091592
1600,0.021832,2.4243488,2.4026353
1700,0.023113,2.4667056,2.4319797
1800,0.024376,2.456462,2.415823
1900,0.025644,2.450445,2.3805854
2000,0.026933,2.429976,2.3902407
2100,0.028206,2.3805268,2.3968356
2200,0.029481,2.4170341,2.3872845
2300,0.030791,2.4547493,2.3938816
2400,0.032031,2.4052405,2.3752406
2500,0.033294,2.4096756,2.4304578
2600,0.034567,2.4306073,2.395253
2700,0.035857,2.3901637,2.3695962
2800,0.037163,2.448916,2.4085517
2900,0.038435,2.3985445,2.3734725
3000,0.039711,2.4172122,2.4007075
3100,0.041029,2.3202593,2.3522224
3200,0.042358,2.341407,2.369806
3300,0.043633,2.305059,2.4412982
3400,0.045004,2.47124,2.3799284
3500,0.046297,2.4050715,2.3676476
3600,0.047575,2.3065343,2.3613083
3700,0.048862,2.3431876,2.4410956
3800,0.050191,2.3116512,2.4125314
3900,0.051529,2.3839247,2.3717933
4000,0.052835,2.4123192,2.3598335
4100,0.054133,2.398108,2.3706474
4200,0.055560,2.367998,2.3860831
4300,0.056821,2.3671093,2.369784
4400,0.058108,2.3668346,2.3628573
4500,0.059390,2.3888075,2.3356194
4600,0.060684,2.3314676,2.3661866
4700,0.062026,2.358202,2.3754292
4800,0.063311,2.331432,2.359808
4900,0.064584,2.3583388,2.3394783
5000,0.065853,2.331061,2.3604946
5100,0.067104,2.393651,2.353444
5200,0.068388,2.3790925,2.3468142
5300,0.069660,2.305143,2.3571703
5400,0.070983,2.3162966,2.3708136
5500,0.072336,2.3655457,2.3597505
5600,0.073685,2.373042,2.3503807
5700,0.074966,2.3931937,2.3484135
5800,0.076217,2.3143897,2.3552082
5900,0.077457,2.354638,2.3500006
6000,0.078794,2.3453312,2.383009
6100,0.080137,2.3464108,2.3572705
6200,0.081460,2.430386,2.363079
