step,train_time_s,train_loss,eval_loss
0,0.000000,3.3193374,3.3193374
500,0.006873,2.5755954,2.4448166
1000,0.013197,2.4691856,2.445963
1500,0.019377,2.4535117,2.419634
2000,0.025465,2.4536784,2.4023836
2500,0.031502,2.4148157,2.4285128
3000,0.037513,2.423677,2.4512637
3500,0.043556,2.3820906,2.3808174
4000,0.049618,2.3681715,2.3854082
4500,0.055697,2.3927326,2.3697214
5000,0.061713,2.365023,2.39503
5500,0.067730,2.3755143,2.3863723
6000,0.073845,2.3800316,2.4044588
6500,0.079890,2.383813,2.394973
7000,0.086150,2.4042492,2.3723125
7500,0.092452,2.4123673,2.353829
8000,0.098494,2.357004,2.3705814
8500,0.104696,2.4095519,2.3896716
9000,0.110851,2.343258,2.365293
9500,0.117239,2.398984,2.3622694
10000,0.123564,2.3600504,2.3537934
10500,0.129685,2.39127,2.3583076
11000,0.135861,2.3702495,2.3634536
11500,0.141890,2.3682573,2.3642094
12000,0.148017,2.3820646,2.3682432
12500,0.154060,2.3917005,2.346583
13000,0.160065,2.3408976,2.364292
13500,0.166413,2.366654,2.3524983
14000,0.172827,2.3738616,2.3626525
14500,0.179293,2.3556743,2.3586032
15000,0.185551,2.367331,2.3521295
15500,0.191555,2.344974,2.3612888
16000,0.197783,2.3356264,2.3774698
16500,0.203999,2.3402405,2.3510003
17000,0.210459,2.3333786,2.354012
17500,0.216606,2.3559575,2.3575866
18000,0.222900,2.4011002,2.3507936
18500,0.229030,2.3596783,2.3446474
19000,0.235244,2.3788764,2.3478339
19500,0.241528,2.3805802,2.3385396
20000,0.247844,2.351718,2.360244
20500,0.254120,2.396759,2.3418002
21000,0.260432,2.3716457,2.342438
21500,0.266578,2.354232,2.3296058
22000,0.272762,2.3373127,2.3352308
22500,0.279042,2.3382096,2.3404722
23000,0.284982,2.3516395,2.3214812
23500,0.291080,2.3641353,2.3309054
24000,0.297417,2.3345544,2.3288245
24500,0.303679,2.331011,2.3361704
25000,0.309970,2.3621814,2.3408616
25500,0.316158,2.3685098,2.3399308
26000,0.322339,2.3380804,2.339912
26500,0.328584,2.3971727,2.3446195
27000,0.334481,2.3656552,2.3197036
27500,0.340611,2.342069,2.3374372
28000,0.346694,2.3217525,2.3464837
28500,0.352994,2.328726,2.3572237
29000,0.359412,2.3312294,2.3572068
29500,0.365546,2.3635843,2.3417144
30000,0.371881,2.3610034,2.331495
30500,0.377924,2.3735926,2.329622
31000,0.384158,2.3466158,2.338468
31500,0.390450,2.3793237,2.3241818
32000,0.396771,2.3479052,2.330524
32500,0.403107,2.3535755,2.3392608
33000,0.409289,2.3781214,2.3518486
33500,0.415257,2.3580658,2.3215346
34000,0.421509,2.3418853,2.3425453
34500,0.427596,2.3214993,2.3478503
35000,0.433648,2.3342223,2.3161073
35500,0.439876,2.3356917,2.3329818
36000,0.445980,2.3033628,2.3383572
36500,0.452275,2.3446398,2.322095
37000,0.458347,2.3199663,2.3302622
37500,0.464476,2.3383799,2.3380053
38000,0.470697,2.3556633,2.3574471
38500,0.476796,2.376479,2.315865
39000,0.482902,2.3112512,2.3112693
39500,0.489263,2.3636253,2.365609
40000,0.495634,2.2884407,2.3415296
40500,0.501879,2.353677,2.3237894
41000,0.507960,2.327804,2.3214154
41500,0.514060,2.3502831,2.3229003
42000,0.520184,2.332208,2.331645
42500,0.526140,2.3403876,2.332124
43000,0.532260,2.3409832,2.333262
43500,0.538364,2.358281,2.3143501
44000,0.544634,2.2951145,2.3249822
44500,0.550829,2.3252628,2.3393228
45000,0.556934,2.3350906,2.3208306
45500,0.563252,2.3200657,2.3419616
46000,0.569423,2.3369334,2.3310444
46500,0.575483,2.3084855,2.315102
47000,0.581802,2.304756,2.3158357
47500,0.588150,2.3015273,2.33605
48000,0.594466,2.305243,2.323061
48500,0.600711,2.3225439,2.335275
49000,0.606941,2.355132,2.3355567
49500,0.612962,2.3298304,2.3473835
50000,0.619132,2.34991,2.3204868
50500,0.625298,2.3436935,2.3161526
51000,0.631467,2.328601,2.3234212
51500,0.637616,2.3495517,2.3043222
