step,train_time_s,train_loss,eval_loss
0,0.000000,3.3193374,3.3193374
100,0.006955,2.4613824,2.3313963
200,0.013092,2.3110223,2.3051574
300,0.017894,2.2999656,2.2658722
400,0.024285,2.2764428,2.2511897
500,0.030145,2.2508962,2.2417686
600,0.035714,2.251364,2.2396064
700,0.041265,2.2536235,2.2357569
800,0.047520,2.2440083,2.2249804
900,0.053605,2.2351055,2.2274342
1000,0.058382,2.241092,2.2202506
1100,0.064254,2.227971,2.2211375
1200,0.070524,2.2231543,2.2070622
1300,0.075586,2.2149312,2.2111464
1400,0.081734,2.2167494,2.202858
1500,0.087789,2.192047,2.208228
1600,0.092537,2.2137651,2.2054265
1700,0.098592,2.2174368,2.2019684
1800,0.105120,2.2107012,2.1923301
1900,0.110198,2.2054026,2.1946943
2000,0.116011,2.21585,2.1987102
2100,0.122634,2.1932957,2.197863
2200,0.128023,2.2062151,2.195712
2300,0.133678,2.195249,2.2003994
2400,0.139631,2.1940799,2.190954
2500,0.145890,2.176381,2.1937075
2600,0.150809,2.205139,2.2036448
2700,0.156845,2.1880023,2.1844697
2800,0.162802,2.1990516,2.184112
2900,0.167713,2.1915724,2.1878393
3000,0.174565,2.2053983,2.1953537
3100,0.180348,2.1753502,2.1812398
3200,0.185486,2.1894703,2.1887405
3300,0.191398,2.1975205,2.183842
3400,0.197151,2.1698089,2.1791322
3500,0.202031,2.1740139,2.1923664
3600,0.208614,2.1940887,2.1880417
3700,0.214085,2.180314,2.1888244
3800,0.219067,2.1840966,2.1762276
3900,0.225377,2.1953204,2.1730268
4000,0.230900,2.180678,2.185083
4100,0.236328,2.1812222,2.1840894
4200,0.241496,2.175873,2.1819963
4300,0.247279,2.1821375,2.181478
4400,0.253789,2.1611931,2.1784537
4500,0.258739,2.1731482,2.1800265
4600,0.265242,2.1824605,2.1759255
4700,0.272178,2.1750956,2.1767738
4800,0.277992,2.179672,2.1764646
4900,0.282984,2.1877713,2.166679
5000,0.289657,2.167204,2.1724973
5100,0.296020,2.1752512,2.1750588
5200,0.301406,2.175393,2.177973
5300,0.307354,2.1647084,2.1765199
5400,0.313425,2.1522932,2.1742625
5500,0.320150,2.1815994,2.1705747
5600,0.325487,2.1659472,2.1708064
5700,0.331401,2.174568,2.173345
5800,0.338264,2.172109,2.1639357
5900,0.344702,2.1778963,2.1635504
6000,0.350799,2.15543,2.1630094
6100,0.357684,2.1692352,2.1689346
6200,0.364828,2.173866,2.1751764
6300,0.370959,2.1548629,2.1618583
6400,0.376364,2.1493943,2.1696386
6500,0.382468,2.173582,2.1746175
6600,0.389677,2.1591954,2.173343
6700,0.396282,2.1668513,2.1581485
6800,0.401369,2.1700077,2.1618838
6900,0.407109,2.1667533,2.1652555
7000,0.413573,2.1532614,2.168693
7100,0.421660,2.1631048,2.1647162
7200,0.426627,2.1671233,2.168259
7300,0.432485,2.1443841,2.1595726
7400,0.438582,2.1516378,2.16905
7500,0.444205,2.1676323,2.1600108
7600,0.450433,2.15271,2.1668875
7700,0.455973,2.1618247,2.160098
7800,0.461295,2.1682127,2.1583953
7900,0.466779,2.1544695,2.1560998
8000,0.472898,2.1566677,2.1594028
8100,0.478131,2.1561103,2.1620023
8200,0.485114,2.1517217,2.157017
8300,0.491213,2.1337676,2.1557076
8400,0.497407,2.1631105,2.167741
8500,0.502773,2.1564224,2.1580207
8600,0.508212,2.157631,2.1558576
8700,0.514191,2.15201,2.1510663
8800,0.518980,2.1612902,2.147636
8900,0.525102,2.1386435,2.150762
9000,0.530805,2.1573868,2.1554778
9100,0.535511,2.1498318,2.1529567
9200,0.542404,2.145276,2.157882
9300,0.548580,2.1304967,2.148541
9400,0.554965,2.1637232,2.1534963
9500,0.560194,2.1412783,2.1592665
9600,0.565734,2.1502552,2.1458166
9700,0.571991,2.1499949,2.1460018
9800,0.577237,2.1509504,2.1501863
9900,0.582907,2.137459,2.1497638
10000,0.588943,2.1465707,2.1450484
10100,0.594253,2.1505535,2.1492968
10200,0.599596,2.1300862,2.1466393
10300,0.605604,2.1354177,2.151993
10400,0.610733,2.1547954,2.1417603
10500,0.617424,2.1412377,2.1475933
10600,0.624003,2.143382,2.1419716
10700,0.629985,2.1534743,2.146451
10800,0.635317,2.1399276,2.1454453
10900,0.640665,2.1424727,2.1449692
11000,0.646853,2.1378963,2.1501002
11100,0.652111,2.1407053,2.142857
11200,0.658077,2.117528,2.144243
11300,0.664211,2.1433785,2.1408103
11400,0.669619,2.1470165,2.144598
11500,0.675147,2.1381907,2.1430907
11600,0.680985,2.1395712,2.1398275
11700,0.687195,2.145161,2.1342928
11800,0.691911,2.1279435,2.137013
11900,0.697878,2.144718,2.1389532
12000,0.704409,2.132135,2.14428
12100,0.709051,2.132163,2.1422656
12200,0.714743,2.1158223,2.1407976
12300,0.720811,2.1475277,2.140384
12400,0.726370,2.1270368,2.1336277
12500,0.731987,2.141222,2.1351388
12600,0.738418,2.1322389,2.13584
12700,0.743677,2.1417441,2.1352465
12800,0.749207,2.12091,2.1370234
12900,0.755540,2.1322074,2.1387305
13000,0.760591,2.1385555,2.1358986
13100,0.766909,2.119046,2.1360483
13200,0.772785,2.1176407,2.1462162
13300,0.778719,2.1409667,2.1356945
13400,0.783469,2.124397,2.1359687
13500,0.789609,2.1281266,2.1340396
13600,0.795341,2.139348,2.1313694
13700,0.800661,2.1258335,2.1366584
13800,0.806101,2.1297913,2.1303992
13900,0.810919,2.1202297,2.135347
14000,0.816587,2.1316183,2.1331534
14100,0.822230,2.1083004,2.1347165
14200,0.827304,2.1231616,2.1308568
14300,0.833379,2.1306226,2.1293397
14400,0.840105,2.1233976,2.1281617
14500,0.845421,2.1259286,2.1309679
14600,0.850695,2.1338062,2.1297092
14700,0.856366,2.1153905,2.1277328
14800,0.861673,2.1302733,2.1280706
14900,0.866605,2.118952,2.1324534
15000,0.872689,2.1180987,2.1316614
15100,0.877986,2.1032841,2.1288676
15200,0.883279,2.1346343,2.1269698
15300,0.889226,2.114555,2.1252463
15400,0.895227,2.124931,2.127388
15500,0.899959,2.1193953,2.124421
15600,0.905948,2.1276782,2.122771
15700,0.911093,2.1076586,2.1268091
15800,0.916667,2.1169167,2.125571
15900,0.922135,2.1266751,2.1292381
16000,0.926879,2.1066625,2.1277213
16100,0.932192,2.1036315,2.12892
16200,0.938429,2.1258814,2.1262171
16300,0.943585,2.1078653,2.1261396
16400,0.949920,2.1189814,2.1215794
16500,0.956201,2.123767,2.1219711
16600,0.962145,2.112527,2.1216297
16700,0.967001,2.1119478,2.1236885
16800,0.973026,2.111355,2.1222038
16900,0.978561,2.118506,2.125581
17000,0.984347,2.0991895,2.1221242
17100,0.989787,2.103108,2.125022
17200,0.995050,2.1182773,2.119184
17300,0.999782,2.1052685,2.1214054
17400,1.005197,2.114216,2.119309
17500,1.009884,2.1218936,2.1224625
17600,1.015019,2.1060972,2.119036
17700,1.021203,2.1129916,2.1179693
17800,1.026312,2.1075191,2.1201012
17900,1.031982,2.1058905,2.120252
18000,1.038164,2.0864468,2.1186562
18100,1.043063,2.1188586,2.1193173
18200,1.049081,2.105847,2.116416
18300,1.055012,2.1108546,2.1166244
18400,1.059690,2.101328,2.1171963
18500,1.065846,2.1182728,2.1162639
18600,1.072063,2.0921216,2.1166012
18700,1.076841,2.109999,2.1159363
18800,1.081966,2.1084778,2.1167345
18900,1.087653,2.1008248,2.115827
19000,1.092939,2.0851796,2.115199
19100,1.098327,2.1148705,2.115825
19200,1.104338,2.0938563,2.1138759
19300,1.109313,2.1043656,2.1137893
19400,1.114753,2.1054842,2.1132646
19500,1.120802,2.1047983,2.113773
19600,1.125374,2.095215,2.1132643
19700,1.130897,2.1004941,2.113006
19800,1.136638,2.103787,2.1132932
19900,1.141425,2.0889735,2.1129665
20000,1.146954,2.0884645,2.1128914
