step,train_time_s,train_loss,eval_loss
0,0.000000,3.3193374,3.3193374
100,0.004816,2.5050619,2.3703303
200,0.009418,2.3636272,2.325212
300,0.013997,2.3226714,2.3164713
400,0.018440,2.3080513,2.312704
500,0.022984,2.3157578,2.2795558
600,0.027665,2.2942195,2.2907505
700,0.031881,2.2849746,2.2739491
800,0.036279,2.27586,2.2574337
900,0.040645,2.2666647,2.2564054
1000,0.044870,2.2487893,2.2448347
1100,0.048623,2.2434518,2.249862
1200,0.052660,2.2718153,2.2671218
1300,0.056404,2.2771914,2.244716
1400,0.060579,2.2436733,2.2512481
1500,0.064741,2.2456696,2.2451923
1600,0.069037,2.248506,2.2365558
1700,0.073222,2.251296,2.2341735
1800,0.077695,2.2340124,2.221648
1900,0.081645,2.2481353,2.2311883
2000,0.086039,2.255111,2.222078
2100,0.089727,2.2493725,2.21411
2200,0.093870,2.2192852,2.226165
2300,0.097564,2.22648,2.2075603
2400,0.101464,2.2467477,2.2142673
2500,0.105662,2.219924,2.2242038
2600,0.109771,2.2319212,2.213159
2700,0.114280,2.2344527,2.2126892
2800,0.118370,2.216737,2.2109706
2900,0.122407,2.2142615,2.2101073
3000,0.126772,2.1916857,2.2106063
3100,0.130639,2.2252533,2.2185934
3200,0.135105,2.2275481,2.210748
3300,0.139266,2.237154,2.2144585
3400,0.143566,2.218236,2.2089784
3500,0.147293,2.2118068,2.2086067
3600,0.151153,2.2280474,2.1971016
3700,0.155093,2.2018154,2.208227
3800,0.158835,2.219753,2.1971862
3900,0.162912,2.218969,2.1958728
4000,0.166680,2.2305512,2.2001073
4100,0.171123,2.2082953,2.2101297
4200,0.175279,2.1984074,2.2098334
4300,0.179362,2.206819,2.211834
4400,0.183673,2.2246177,2.2043211
4500,0.187843,2.1873147,2.205735
4600,0.192083,2.2133374,2.2031662
4700,0.196440,2.2097826,2.202426
4800,0.200921,2.203044,2.1957593
4900,0.205545,2.1778414,2.2064307
5000,0.210004,2.1918848,2.207744
5100,0.214331,2.2137277,2.1888936
5200,0.218793,2.219838,2.1950495
5300,0.223119,2.1934552,2.1893995
5400,0.227402,2.1920974,2.187897
5500,0.231654,2.1993597,2.186421
5600,0.236065,2.207443,2.1900806
5700,0.240528,2.1838007,2.1878376
5800,0.244891,2.207863,2.1938446
5900,0.249286,2.2100043,2.1931515
6000,0.253945,2.2096102,2.1925924
6100,0.258521,2.183039,2.1949914
6200,0.262581,2.1838944,2.172778
6300,0.266934,2.2030282,2.184175
6400,0.271023,2.1833227,2.1861393
6500,0.274818,2.191073,2.1998937
6600,0.278814,2.2072196,2.1819413
6700,0.283259,2.1815853,2.1947842
6800,0.287367,2.17692,2.1764698
6900,0.291541,2.1584084,2.1832364
7000,0.295920,2.1989477,2.1825862
7100,0.300156,2.2076695,2.193795
7200,0.304424,2.193154,2.178855
7300,0.308929,2.1816258,2.1794624
7400,0.312853,2.1806028,2.1844184
7500,0.317237,2.2007563,2.1829398
7600,0.321457,2.1686883,2.1878703
7700,0.325992,2.1931944,2.181695
7800,0.330440,2.195264,2.1777937
7900,0.334970,2.1947253,2.1795788
8000,0.338872,2.1706185,2.1956124
8100,0.343332,2.1779728,2.1802194
8200,0.347462,2.1912725,2.1722133
8300,0.351911,2.1832633,2.1794467
8400,0.356224,2.166855,2.187904
8500,0.360638,2.1863387,2.1803772
8600,0.365034,2.1798632,2.1815124
8700,0.369412,2.1767209,2.1787772
8800,0.373904,2.1472225,2.178168
8900,0.378314,2.1735556,2.173558
9000,0.382453,2.1860147,2.1728208
9100,0.386866,2.200369,2.1741261
9200,0.391290,2.1669664,2.1810837
9300,0.395760,2.1704404,2.1834934
9400,0.400155,2.171304,2.1712322
9500,0.404342,2.1814246,2.1759632
9600,0.408710,2.1694448,2.1755736
9700,0.412609,2.1808736,2.1750906
9800,0.416932,2.1873252,2.166965
9900,0.421279,2.1725457,2.1719263
10000,0.425695,2.1636324,2.164156
10100,0.429548,2.1644187,2.1666934
10200,0.433217,2.1805592,2.1658025
10300,0.437673,2.1601877,2.1681564
10400,0.442104,2.175795,2.1708438
10500,0.446262,2.1711013,2.1699317
10600,0.450447,2.164078,2.1733701
10700,0.454699,2.1471539,2.1662838
10800,0.458888,2.1470416,2.1701522
10900,0.463522,2.175253,2.167523
11000,0.467845,2.1916583,2.1592748
11100,0.472160,2.1588433,2.1588626
11200,0.476441,2.161026,2.161106
11300,0.481036,2.1636944,2.161416
11400,0.485357,2.1718476,2.1701012
