step,train_time_s,train_loss,eval_loss
0,0.000000,3.3193374,3.3193374
100,0.008636,2.4613829,2.3313963
200,0.022383,2.3110223,2.3051572
300,0.036577,2.2999654,2.2658725
400,0.045196,2.2764428,2.2511897
500,0.055100,2.2508962,2.2417686
600,0.065321,2.2513642,2.2396064
700,0.075463,2.2536235,2.2357569
800,0.084951,2.2440083,2.224981
900,0.093539,2.2350574,2.2259731
1000,0.102571,2.2409463,2.2211335
1100,0.112477,2.2284932,2.2211397
1200,0.120911,2.2238722,2.208215
1300,0.129804,2.2141674,2.2134588
1400,0.140176,2.2176871,2.2038655
1500,0.148424,2.1942475,2.2121081
1600,0.156691,2.2132025,2.20155
1700,0.164981,2.2167575,2.208165
1800,0.174597,2.2120154,2.1967163
1900,0.182372,2.2066698,2.1976295
2000,0.190393,2.2157125,2.1972582
2100,0.199548,2.1931164,2.1955848
2200,0.208327,2.2052946,2.1985805
2300,0.219365,2.1952922,2.2010791
2400,0.228593,2.1936858,2.1919823
2500,0.236569,2.1770818,2.1979256
2600,0.245499,2.206308,2.197727
2700,0.253942,2.1887667,2.1847372
2800,0.263201,2.196856,2.185475
2900,0.273200,2.1916435,2.1924846
3000,0.282954,2.2023864,2.1849928
3100,0.290737,2.17418,2.180627
3200,0.299441,2.189357,2.1952603
3300,0.308620,2.1970322,2.1822803
3400,0.316631,2.170268,2.1837432
3500,0.324829,2.1721451,2.188525
3600,0.333048,2.1938677,2.1859417
3700,0.342761,2.176246,2.1859365
3800,0.353648,2.1828823,2.179978
3900,0.361960,2.1923904,2.1737278
4000,0.370486,2.1790874,2.1843243
4100,0.378187,2.1814616,2.1827743
4200,0.386533,2.174395,2.1886458
4300,0.394371,2.183665,2.1770844
4400,0.402467,2.162112,2.1815004
4500,0.410904,2.1744823,2.1794379
4600,0.419403,2.1822407,2.1735237
4700,0.427494,2.1709535,2.1770368
4800,0.436522,2.1779706,2.1734796
4900,0.443871,2.1856163,2.168302
5000,0.454074,2.1662524,2.1731625
5100,0.462495,2.1754665,2.1776361
5200,0.470495,2.172702,2.1826887
5300,0.479462,2.1672542,2.1754384
5400,0.488492,2.154204,2.1806276
5500,0.497399,2.1819448,2.1669998
5600,0.505275,2.1625469,2.172986
5700,0.513977,2.1742265,2.1693895
5800,0.522079,2.1706977,2.1675797
5900,0.529892,2.1780305,2.1685011
6000,0.537697,2.1562777,2.1726017
6100,0.545612,2.166775,2.170531
6200,0.553485,2.1747177,2.175564
6300,0.561936,2.1558936,2.1725996
6400,0.571256,2.1519957,2.1709335
6500,0.579976,2.1702147,2.176016
6600,0.588140,2.159151,2.1700842
6700,0.596811,2.1651914,2.1626248
6800,0.605181,2.1684725,2.1617455
6900,0.615723,2.1679616,2.1731126
7000,0.624108,2.156727,2.1689725
7100,0.633827,2.158843,2.1684363
7200,0.643073,2.168999,2.1663775
7300,0.651250,2.147944,2.1656475
7400,0.660195,2.149785,2.1659079
7500,0.668047,2.1630156,2.1623063
7600,0.676326,2.1534717,2.1688044
7700,0.684765,2.1615152,2.1641805
7800,0.692810,2.1671114,2.1605737
7900,0.701893,2.1552873,2.166546
8000,0.709691,2.1570008,2.1634352
8100,0.717497,2.1558285,2.1653838
8200,0.727384,2.153743,2.155529
8300,0.735536,2.1354845,2.1587703
8400,0.743576,2.161502,2.1615453
8500,0.752502,2.1504683,2.1605945
8600,0.761597,2.1602833,2.1600547
8700,0.770474,2.1521924,2.158735
8800,0.780359,2.1621392,2.152515
8900,0.792667,2.1397762,2.1582394
9000,0.801472,2.1570163,2.1670854
9100,0.813467,2.1511817,2.1555421
9200,0.821555,2.1457589,2.162903
9300,0.829665,2.132319,2.1553307
9400,0.837236,2.1593316,2.1590834
9500,0.850146,2.1411865,2.1619186
9600,0.858746,2.1518927,2.150187
9700,0.868948,2.1498775,2.1493485
9800,0.879796,2.1521263,2.1576862
9900,0.888864,2.1404243,2.1492178
10000,0.899496,2.1440055,2.1548455
10100,0.907601,2.154567,2.1512506
10200,0.916575,2.132324,2.1490645
10300,0.924963,2.1344457,2.153959
10400,0.933245,2.1496494,2.1501222
10500,0.940979,2.1427498,2.148106
10600,0.948566,2.1436284,2.1523888
10700,0.957322,2.1524217,2.1475215
10800,0.965944,2.1422694,2.151433
10900,0.977419,2.1448395,2.1516767
11000,0.988309,2.1369941,2.1531608
11100,1.000125,2.14513,2.146163
11200,1.010986,2.1196566,2.155101
11300,1.020926,2.1409774,2.1474953
11400,1.033552,2.1435962,2.1468349
11500,1.047176,2.1412947,2.1456432
11600,1.057171,2.1425703,2.1474907
11700,1.067339,2.1431575,2.1428318
11800,1.078148,2.1305964,2.1422284
11900,1.086552,2.145141,2.1487775
12000,1.094721,2.1338267,2.145351
12100,1.102836,2.133993,2.1459734
12200,1.111270,2.1167421,2.1471918
12300,1.120159,2.1463728,2.1442442
12400,1.128189,2.1261616,2.1401331
12500,1.136693,2.1449466,2.1363752
12600,1.144786,2.1329322,2.1364045
12700,1.154164,2.140867,2.1379018
12800,1.161927,2.124142,2.1372647
12900,1.169941,2.1313314,2.1435108
13000,1.177988,2.142209,2.1399543
13100,1.186036,2.12024,2.142062
13200,1.196713,2.1191208,2.1470854
13300,1.206094,2.1376956,2.1428785
13400,1.214292,2.1259816,2.1414614
13500,1.222194,2.130693,2.1397264
13600,1.230268,2.1385348,2.1356874
13700,1.238273,2.1272228,2.1388187
13800,1.246439,2.1325452,2.1347644
13900,1.254362,2.120142,2.1394002
14000,1.262344,2.1343446,2.1375632
14100,1.270526,2.1117687,2.1373584
14200,1.281016,2.124116,2.137158
14300,1.288943,2.1272938,2.136003
14400,1.297555,2.124799,2.1327364
14500,1.305424,2.129374,2.1359012
14600,1.312841,2.132747,2.1347885
14700,1.322032,2.1171343,2.133779
14800,1.334297,2.132182,2.1333241
14900,1.342365,2.120894,2.1339765
15000,1.351879,2.1205645,2.1346245
15100,1.360804,2.1060843,2.1359212
15200,1.368308,2.1341326,2.132317
15300,1.376265,2.1131473,2.1353576
15400,1.385303,2.128377,2.1306546
15500,1.393754,2.1217446,2.1325405
15600,1.401722,2.126229,2.1293108
15700,1.409776,2.1108332,2.1271203
15800,1.419076,2.1186273,2.1304424
15900,1.426833,2.1300976,2.1298566
16000,1.436730,2.10791,2.131689
16100,1.444589,2.1061242,2.1314425
16200,1.452383,2.124801,2.1294436
16300,1.462197,2.1102805,2.1303039
16400,1.469865,2.1216295,2.1269295
16500,1.482539,2.12254,2.1272397
16600,1.490514,2.1145036,2.127999
16700,1.501883,2.115227,2.1233814
16800,1.509822,2.1115217,2.1268175
16900,1.518590,2.1224349,2.1285312
17000,1.528188,2.1014788,2.1237001
17100,1.535874,2.1054156,2.1270204
17200,1.543171,2.1165333,2.126094
17300,1.550760,2.1090288,2.124991
17400,1.559508,2.116851,2.1247404
17500,1.569369,2.1205895,2.125347
17600,1.577023,2.1073349,2.1249747
17700,1.586654,2.117142,2.1219845
17800,1.595696,2.109162,2.124216
17900,1.603398,2.1088283,2.1231182
18000,1.611433,2.090362,2.1227274
