step,train_time_s,train_loss,eval_loss
0,0.000000,3.3193374,3.3193374
100,0.014120,2.419047,2.3076394
200,0.028227,2.2957914,2.25859
300,0.042510,2.2558756,2.235223
400,0.056710,2.249977,2.2332602
500,0.070746,2.2363882,2.2208555
600,0.084643,2.224045,2.206068
700,0.098728,2.2137156,2.196825
800,0.112809,2.2044253,2.2020438
900,0.126955,2.2136757,2.191021
1000,0.140892,2.2047148,2.1879058
1100,0.154756,2.1961956,2.1910405
1200,0.168546,2.1897438,2.1883547
1300,0.182450,2.1895897,2.1855283
1400,0.196238,2.1903281,2.180746
1500,0.210014,2.19163,2.1774917
1600,0.223710,2.1788113,2.1903439
1700,0.237189,2.1794138,2.1795077
1800,0.250999,2.1807983,2.178796
1900,0.264844,2.175721,2.1764157
2000,0.278466,2.1817296,2.1812167
2100,0.291930,2.173573,2.1752462
2200,0.305681,2.1664667,2.1712968
2300,0.319242,2.174519,2.1703665
2400,0.332807,2.169895,2.1653764
2500,0.346411,2.1747506,2.1732755
2600,0.359958,2.1691124,2.1671336
2700,0.373570,2.1551282,2.16442
2800,0.387132,2.1698253,2.1637225
2900,0.400771,2.166875,2.1569908
3000,0.414101,2.1658437,2.1523228
3100,0.427708,2.1660154,2.1669195
3200,0.441488,2.148977,2.162658
3300,0.454904,2.1635606,2.1593552
3400,0.468511,2.1642997,2.1585605
3500,0.481996,2.1588583,2.159381
3600,0.495553,2.1602798,2.157105
3700,0.509143,2.146013,2.166788
3800,0.522693,2.1588929,2.151864
3900,0.536249,2.1604528,2.1522212
4000,0.549976,2.1546698,2.1595755
4100,0.563540,2.1527014,2.153097
4200,0.577202,2.1473792,2.1603487
4300,0.590787,2.155447,2.152426
4400,0.604360,2.155228,2.1476445
4500,0.617901,2.148053,2.158184
4600,0.631499,2.1482973,2.1594675
4700,0.644978,2.1473188,2.1542625
4800,0.658597,2.147068,2.152112
4900,0.672204,2.153749,2.1499124
5000,0.685932,2.1422684,2.1493428
5100,0.699682,2.1434011,2.1460743
5200,0.713362,2.1469584,2.1461573
5300,0.726811,2.144639,2.1526382
5400,0.740612,2.1522791,2.1522892
5500,0.753937,2.1425207,2.1491408
5600,0.767402,2.134219,2.1513517
5700,0.780930,2.147486,2.1514351
5800,0.794486,2.1452,2.151614
5900,0.808229,2.144058,2.143478
6000,0.821655,2.1407468,2.1470563
6100,0.835264,2.1300607,2.1452234
6200,0.848703,2.1438615,2.1407154
6300,0.862350,2.143721,2.1440835
6400,0.875681,2.1419005,2.1342988
6500,0.888825,2.1409347,2.1407464
6600,0.902555,2.1263137,2.149686
6700,0.916118,2.1426032,2.1431983
6800,0.929613,2.1417518,2.13706
6900,0.943187,2.1398864,2.13876
